id,school_name,city,state
476,"St. Mary's, CA",Stockton,CA
477,"Arapahoe, CO",Littleton,CO
478,"Holy Cross Prep Academy",Delran,NJ
479,"Nooksack Valley, WA",,WA
480,"Bishop Mieve",DeSoto,KS
481,Baldwin,Baldwin,GA
482,"St. John's College, MD",Washington,DC
483,"Bishop McNamara, MD",,MD
484,"Sparrows Point, MD",Baltimore,MD
485,"Bishop McNamara, MD","District Heights",MD
486,"Bullis, MD",,MD
487,"Wesleyan, GA",Lovejoy,GA
488,"Princeton, OH",Leesburg,OH
489,"Palm Bay, FL","Palm Bay",FL
490,"Butler College Prep, IL",Chicago,IL
491,"West Des Moines","Des Moines",IA
492,"North Polk",Alleman,IA
493,"Skutt Catholic",Blair,NE
494,"Pickerington Ridgeview",Pickerington,OH
495,"DME Academy, FL",Chicago,IL
496,"Mueller Park MS",,CO
497,"Princess Anne",,VA
498,"Etiwanda, CA","Las Vegas",NV
499,Trinity,,VA
500,"Kellam, VA",,VA
501,"Bishop Ireton, VA",Accokeek,MD
502,Wallkill,Wallkill,NY
503,"Solon, IA",Solon,IA
504,"Elkhorn North, NE",Elkhorn,NE
505,"Charlotte Catholic, NC",Charlotte,NC
506,"Archbishop Spalding",,MD
507,"West Cabarrus",Concord,NC
508,Pittsford,,MI
509,"St Francis",Suwanee,GA
510,"Davenport North, IA",Davenport,IA
511,"Morris Catholic, NJ",Paterson,NJ
512,"Wheeling Park",Wheeling,WV
513,"Our Lady of Lourdes, NY",Poughkeepsie,NY
514,"Union, WA",,AK
515,"Mt Vernon, IN",McCordsville,IN
516,"Rutherford, FL","Panama City",FL
517,Huntsville,Huntsville,AL
518,"Washington, IN","South Bend",IN
519,"Salpointe Catholic, AZ",Vail,AZ
520,"Good Counsel, MD",Odenton,MD
521,Winsdor,,CT
522,"York Institute",Jamestown,TN
523,609-551-5011,,PA
524,"Hazel Green, AL",Harvest,AL
525,Buckhorn,Huntsville,AL
526,"Duncanville, TX",Albuquerque,NM
527,"Tabor Academy, MA",Dedham,MA
528,"Wylie East, TX",Sachse,TX
529,"Hewitt-Trussville, AL",Trussville,AL
530,"Clovis West, CA",Fresno,CA
531,"Mansfield Timberview",Dallas,TX
532,Braswell,"Little Elm",TX
533,"Mercy Academy, KY",Elizabethtown,KY
534,"Hopkins, MN","Brooklyn Park",MN
535,DECA,Dayton,OH
536,"Panther Creek, NC","Fuquay Varina",NC
537,"Legacy Early College, SC",Waterloo,SC
538,"Bethlehem Central",Delmar,NY
539,"Wesleyan, GA",Stockbridge,GA
540,"Noble& Greenough",Boston,MA
541,"Putnam City West",Bethany,OK
542,"Hardin Jefferson, TX",China,TX
543,"Xavier Prep",Anthem,AZ
544,"Westmoore, OK","Oklahoma City",OK
545,"Summer Creek, TX",Humble,TX
546,Lancaster,Lancaster,TX
547,Sachse,Rowlett,TX
548,"Prestonwood Christian Acadmey, TX",Rowlett,TX
549,"Hamilton Southeastern, IN",Fishers,IN
550,"Northside Methodist School",Eufaula,AL
551,"Lancaster Central, NY","Lancaster, NY",NY
552,"Worcester Academy, MA",Worcester,MA
553,"Clarksville Christian, TN",Clarksville,TN
554,"Cypress Lakes, TX",Hockley,TX
555,"Washburn Rural",Topeka,KS
556,"Helias Catholic, MO","Jefferson City",MO
557,"Seven Lakes, TX",Katy,TX
558,"PAUL VI Catholic, VA",Ashburn,VA
559,"Bethany, OK","Oklahoma City",OK
560,"Oaks Christian, CA",Carpinteria,CA
561,"RCA, TN",Oakland,TN
562,"Clarksville, TN",Clarksville,TN
563,"Saddle River, NJ",Closter,NJ
564,"Booker T. Washington, OK",Tulsa,OK
565,"New Providence","New Providence",NJ
566,"St. Johns College, DC",Vienna,VA
567,"Archbishop Hoban",Akron,OH
568,"J.M. Robinson, NC",Mooresville,NC
569,"Tilton, NH",,NH
570,"Benilde St Margarets, MN","Brooklyn Park",MN
571,"Germantown, MS",Madison,MS
572,"Calvary  Christian Academy","South Daytona",FL
573,"Africentric, OH",Columbus,OH
574,"IMG Academy, FL",Bradenton,FL
575,"George Washington, WV",,WV
576,"Georgetown Visitation","Great Falls",VA
577,"College Station","College Station",TX
578,"Northview Academy",,TN
579,"Central Magnet, TN",Murfreesboro,TN
580,"Auburn, AL",Auburn,AL
581,Somerset,"Science Hill",KY
582,"South Bend Washington",Northwood,OH
583,"Bishop Kenny, FL",Jacksonville,FL
584,"McDonough, MD",Columbia,MD
585,"Kennedy Catholic",Sharon,PA
586,Pikeville,"Pikeville, KY",KY
587,"Blue Springs","Kansas City",MO
588,"GEORGE Washington","South Charleston",WV
589,MTCS,,TN
590,"Tea Area, SD",Tea,SD
591,"Kipp Spirit",Houston,TX
592,"Spring Branch",Houston,TX
593,Kountze,Kountze,TX
594,"Thompson Elementary",Houston,TX
595,"Judson, TX","San Antonio",TX
596,"Pasadena Memorial, TX",Pasadena,TX
597,Leander,,TX
598,"Cinco Ranch",Katy,TX
599,Fredericksburg,Fredricksburg,TX
600,Fredricksburg,Fredricksburg,TX
601,"Dripping Springs",Houston,TX
602,Lytle,"San Antonio",TX
603,"West Memorial",Houston,TX
604,McNair,Houston,TX
605,"Marine D Jones",Humble,TX
606,Pershing,Houston,TX
607,"GEORGE Washington",Charleston,WV
608,"Louis Brandeis, TX","San Antonio",TX
609,"Western Oaks MS",Bethany,OK
610,Uniondale,Uniondale,NY
611,"South Grand Prairie, TX",,TX
612,"Putnam City West, OK",Langston,OK
613,"Grind Prep, OK",Ada,OK
614,"Bishop Kearney",Brooklyn,NY
615,"Bradford Christian Academy",Haverhill,MA
616,"Copper MS","Powder Springs",GA
617,"Cinco Ranch, TX",Katy,TX
618,"Sacred Heart, KY",Shelbyville,KY
619,"HavenView MS",Memphis,TN
620,"Carrollwood Day School","Wesley Chapel",FL
621,"Andrew Lewis MS",Salem,VA
622,"Dutch Fork ME",Columbia,SC
623,"Boyd County, KY",Catlettsburg,KY
624,"Crestwood Prep, ONT","Toronto Ontario Canada",Country
625,"WSCN, NC","Fort Mill",SC
626,Ryle,Union,KY
627,"Crestwood Prep","Scarborough Ontario Canada",
628,"Red Bank Catholic, NJ",Barnegat,NJ
629,"Incarnate Word Academy","St Louis",MO
630,Westridge,Austin,TX
631,"Ryle, KY",Florence,KY
632,"Miami Country Day, FL",Miami,FL
633,"Miami Country Day",Miami,FL
634,"Casady, OK",,IL
635,"St. Teresa's Academy, MO",,MO
636,"Russell, KY",Ashland,KY
637,"Elk Grove Charter School","Elk Grove",CA
638,"Garfield, WA",Seattle,WA
639,"Windward School, CA","Los Angeles",CA
640,"Bishop Alemany","North Hollywood",CA
641,Lynwood,Lynwood,CA
642,"Centennial, NV","Las Vegas",NV
643,"Etiwanda, CA","Moreno Valley",CA
644,"Xavier College Prep",,CA
645,"Spring Valley",Henderson,NV
646,"Desert Vista, AZ",Phoenix,AZ
647,"Etiwanda, CA",Rialto,CA
648,Frontier,Bakersfield,CA
649,"Liberty, CA",Bakersfield,CA
650,"Mater Dei, CA",Orange,CA
651,"St Anthony",Lakewood,CA
652,"Key MS",Springfield,VA
653,"Connelly School, MD",Potomac,MD
654,"Lincoln Community, IL",Lincoln,IL
655,"James River, VA",Midlothian,VA
656,"Ben Franklin MS",Ridgewood,NJ
657,"Miami Country Day",Miramar,FL
658,Minnetonka,Wayzata,MN
659,"Purcell Marian, OH",Cincinnati,OH
660,"Winton Woods",Cincinnati,OH
661,"Bethany, OK",Rowlett,TX
662,"Tabor Academy, MA",Wrentham,MA
663,"Sierra Canyon","Los Angeles",CA
664,"Midwest City","Oklahoma City",OK
665,"Faith Family, TX",Duncanville,TX
666,"North Bend",Omaha,NE
667,"Blanche Ely","Oakland Park",FL
668,"Camden, SC",Rembert,SC
669,"Augusta CHRISTIAN School",Augusta,GA
670,"Mater Dei, CA","LaDreda Ranch",CA
671,Buna,Buna,TX
672,"Blue Springs South, MO",,MO
673,"Coeur d'Alene, ID","Liberty Lake",WA
674,"Rutgers Prep, NJ",Somerset,NJ
675,"Blanche Ely","Lake Worrh",FL
676,"Lake Highland Prep, FL",Orlando,FL
677,"Christopher, IL",Christopher,IL
678,"Calvary Day School",Savannah,GA
679,Duncanville,,
680,"Westtown School, PA",Brooklyn,NY
681,Watauga,Boone,NC
682,"John Burroughs School",,MO
683,Germantown,Memphis,TN
684,"McKenzie MS",,TN
685,"Lutheran Saint Charles, MO","Lutheran St. Charles, ",MO
686,"Christian Academy",,KY
687,"Saint Theresa",,VA
688,"Carver MS",,OK
689,"Ankeny Centennial",Ankeny,IA
690,"IMG Academy, FL",,MS
691,Sumter,Sumter,SC
692,"Long Island Lutheran, NY","Valley Stream",NY
693,"Paisley IB Magnet",Winston-Salem,NC
694,"Solano MS",Vallejo,CA
695,"Golden West MS",Fairfield,CA
696,"Hyde Park",,NY
697,Hotchkiss,"Floral Park",NY
698,"Nazareth Regional","Staten Island",NY
699,"Millenium, AZ",Surprise,AZ
700,"Wake Forest","Wake Forest",NC
701,"Shabach, MD","Indian Head",MD
702,"Broken Arrow, OK",Tulsa,OK
703,"Heathwood Hall Episcopal",Orangeburg,SC
704,"MYERS Park",Charlotte,NC
705,"DME Academy, FL","Staten Island",NY
706,"IS 27","Staten Island",NY
707,Alcoa,Maryville,TN
708,"Lancaster, TX",Atlanta,GA
709,"Renaissance MS",Atlanta,GA
710,"Williams MS",Florence,SC
711,"Union Grove MS",McDonough,GA
712,"Arabia Mountain",Tucker,GA
713,"River Trail MS","Johns Creek",GA
714,"Hebron, TX",,TX
715,"Snellville MS",Snellville,GA
716,"Fairmont MS",Lockport,IL
717,"SJ Welsh","Lake Charles",LA
718,"Mission West",Houston,TX
719,"Brennan, TX","San Antonio",TX
720,"St Catherine of Siena",Raleigh,NC
721,"Parkhill South","Kansas City",MO
722,"Omaha Central, NE",Omaha,NE
723,"Park Hill South, MO",Parkville,MO
724,"Staley, MO","Kansas City",MO
725,"Wichita Heights",Wichita,KS
726,"Waubonsie Valley",Naperville,IL
727,"Nequa Valley",Bolingbrook,IL
728,"Franklin Community",Franklin,IN
729,"Legion Prep Academy, TX",,TX
730,"Principia, MO",,MO
731,"Lawrence North, IN",Fishers,IN
732,317-774-6952,Noblesville,IN
733,"Whitney Young",Chicago,IL
734,"West Bloomfield","West Bloomfield, MI",MI
735,"West Bloomfield, MI","Farmington Hills",MI
736,"Ecole Secondary","Montreal Quebec Canada",
737,"Batavia, KY",Batavia,IL
738,"Lake Highland Prep",Orlando,FL
739,"Waynesville, MO",Fayetteville,AR
740,"Bedford North Lawrence, IN",Bedford,IN
741,"Saline MS",Saline,MI
742,"IMG Academy, FL",,MD
743,"Neuqua Valley",Naperville,IL
744,"London Towne ES",,VA
745,"Princess Anne","Virginia Beach",VA
746,"Incarnate Word Academy, MO",Warrenton,MO
747,"Karen Wagner, TX",Converse,TX
748,"St Charles North","St Charles",IL
749,"Providence Catholic, TX",,TX
750,"Detroit Edison",Clemens,MI
751,"Inman MS",DeCatur,GA
752,773-574-3910,"Crown Point",IL
753,"Goodpasture Christian School",Nashville,TN
754,"St. Johns, DC",Baltimore,MD
755,"Johnston, IA",Grimes,IA
756,"Southeast Polk",Altoona,IA
757,"Dallas Center Grimes MS",Grimes,IA
758,"Holy Innocents Episcopal",Austell,GA
759,"Clinton JHS",Clinton,MS
760,"Wesleyan, GA",Decatur,GA
761,Germantown,Canton,MS
762,"Spring Garden, AL",Piedmont,AL
763,"Galloway, GA",Atlanta,GA
764,"Bishop McNamara, MD","Upper Marlboro",MD
765,Meigs,Pomeroy,OH
766,"Buford, GA","Flowery Branch",GA
767,"Sidwell Friends, DC","Manassas Park",VA
768,"Bolingbrook, IL","Bolingbrook, IL",IL
769,"Hamilton Southeastern",Fishers,IN
770,"Norman, OK",Norman,OK
771,"Downtown MS",Bakersfield,CA
772,"Emblem Academy Elementary","Santa Clarita",CA
773,Rivercrest,Joiner,AR
774,"Byng Elementary",Ada,OK
775,"Lakeway Christian Academy","Jefferson City",TN
776,Norcross,Atlanta,GA
777,"Westside Elementaryv",Cedartown,GA
778,"Newton, GA",Covington,GA
779,"East Magnet MS",Nashville,TN
780,"Browns Chapel",Smyrna,TN
781,"Montverde Academy, FL",Nashville,TN
782,"Mil Creek MS",Nollensville,TN
783,"HUDSON Catholic",Roseland,NJ
784,"IMG Academy, FL",Clifton,NJ
785,"Life Center Academy, NJ","Silver Spring",MD
786,Hammond,Lexington,SC
787,"North Pitt, NC",Greenville,NC
788,"Long Island Lutheran, NY",,Country
789,"Montverde Academy, FL",,Country
790,"Peak To Peak Charter, CO",,Country
791,"Colfax, WA",,Country
792,"Edmond Memorial, OK",,Country
793,"Ridgeline, UT",,Country
794,"Whitney Young, IL",,Country
795,"Grandview Prep, FL",,Country
796,"Noble & Grennough, MA",,Country
797,"Bishop Ireton, VA",,Country
798,"Archie Williams, CA",,Country
799,"Pewaukee, WI",,Country
800,"St. Luke's, CT",,Country
801,"Bradley Central, TN",,Country
802,"Montverde, FL",,Country
803,"Watauga, NC",,Country
804,"Detroit Edison, MI",,Country
805,"Prestonwood Christian, TX",,Country
806,"Little Elm, TX",,Country
807,"Mater Dei, CA",,Country
808,"Hebron Christian Academy, GA",,Country
809,"Chiawanna, WA",,Country
810,"Douglass, OK",,Country
811,"Clackmas, OR",,Country
812,"Northside, OK",,Country
813,"Boilingbrook, IL",,Country
814,"Mill Creek, GA",,Country
815,"Bishop O'Dowd, CA",,Country
816,"Grind Prep, OK",,Country
817,"Monroe, GA",,Country
818,"South Pointe, SC",,Country
819,"Ontario Christian, CA",,Country
820,"Marshall, MN",,Country
821,"Fairmont, OH",,Country
822,"Chattanooga Christian, TN",,Country
823,"Cannon, NC",,Country
824,"The Webb School, TN",,Country
825,"Willamette, OR",,Country
826,"San Joaquin Memorial, CA",,Country
827,"DeSoto, TX",,Country
828,"Winston Salem Christian National, NC",,Country
829,"Notre Dame Academy, WI",,Country
830,"Blue Valley, KS",,Country
831,"Xavier, IA",,Country
832,"St. Thomas Aquanis, FL",,Country
833,"Caine Wilson Secondary, ONT",,Country
834,"Centennial, NV",,Country
835,"Rice Lake, WI",,Country
836,"New Manchester, GA",,Country
837,"Jefferson Christian, VA",,Country
838,"Loomis Chafee, CT",,Country
839,"Montini Catholic, IL",,Country
840,"Skyline, MT",,Country
841,"Legion Prep, TX",,Country
842,"Link Academy, MO",,Country
843,"Hamilton Heights, TN",,Country
844,"Ewing, NJ",,Country
845,"Blackmon, TN",,Country
846,"Sage Hill, CA",,Country
847,"Purcell Marian, OH",,Country
848,"Kenwood, IL",,Country
849,"Crescenta Valley, CA",,Country
850,"Stillwater Area, MN",,Country
851,"Lincoln SW, NE",,Country
852,"Crestwood Prep, ONT",,Country
853,"Lyons Township, IL",,Country
854,"TPLS, VA",,Country
855,"McClatchy, CA",,Country
856,"Langston Hughes, GA",,Country
857,"Cardinal Newman, CA",,Country
858,"Alamo Heights, TX",,Country
859,"Woodward Academy, GA",,Country
860,"Noblesville, IN",,Country
861,"Peters Township, PA",,Country
862,"Bishop Montgomery, CA",,Country
863,"Frisco, TX",,Country
864,"Lake Creek, TX",,Country
865,"Loyola Academy, IL",,Country
866,"Norcross, GA",,Country
867,"Noble Greenough, MA",,Country
868,"Tabor Academy, MA",,Country
869,"Seaforth, NC",,Country
870,"Johnston, IA",,Country
871,"Mercy, MD",,Country
872,"Dyersburg, TN",,Country
873,"Briarcrest Christian, TN",,Country
874,"Bishop Miege, KS",,Country
875,"Lake Zurich, IL",,Country
876,"Dowling Catholic, IA",,Country
877,"Judson, TX",,Country
878,"Farmington, AR",,Country
879,"Snow Canyon, UT",,Country
880,"St. Joseph Sea, NY",,Country
881,"Audenried Charter, PA",,Country
882,"McMinnville, OR",,Country
883,"Cardinal O'Hara, NY",,Country
884,"Benilde-St Margaret's, MN",,Country
885,"Sanford, NJ",,Country
886,"Anthony Wayne, OH",,Country
887,"Millwood, OK",,Country
888,"Pine Creek, CO",,Country
889,"South Grand Prairie, TX",,Country
890,"Fort Erie Secondary, CAN",,Country
891,"Minnehaha, MN",,Country
892,"Fort Erie Int'l CAN",,Country
893,"Wagner, SD",,Country
894,"Sierra Canyon, CA",,Country
895,"Booker T. Washington, FL",,Country
896,"Veterans, GA",,Country
897,"Centennial, CA",,Country
898,"Norfolk Christian, VA",,Country
899,"Albertus Magnus, NY",,Country
900,"Central Catholic, MA",,Country
901,"Quaker Valley, PA",,Country
902,"Buena, CA",,Country
903,"Faith Family Academy, TX",,Country
904,"Hamilton Southeastern, IN",,Country
905,"Xavier College Prep, AZ",,Country
906,"Example Academy, IL",,Country
907,"St. John Vianney, NJ",,Country
908,"Red Bank Catholic, NJ",,Country
909,"Silver Creek, IN",,Country
910,"Etiwanda, CA",,Country
911,"Bishop Gorman, NV",,Country
912,"Bearden, TN",,Country
913,"Central Pointe Christian, FL",,Country
914,"Danville Christian, KY",,Country
915,"Bullis, MD",,Country
916,"Princess Anne, VA",,Country
917,"Ursuline Academy, DE",,Country
918,"Cypress Springs, TX",,Country
919,"Oak Grove, LA",,Country
920,"Archbishop Wood, PA",,Country
921,"Corona, NM",,Country
922,"Eastside Catholic, WA",,Country
923,"Sandy Creek, GA",,Country
924,"Bettendorf, IA",,Country
925,"Plano East, TX",,Country
926,"Winton Woods, OH",,Country
927,"Fayetteville, AR",,Country
928,"Windward, CA",,Country
929,"North Mesquite, TX",,Country
930,"MICD, MO",,Country
931,"Mars Hill Bible, AL",,Country
932,"Quincy Senior, IL",,Country
933,"Dexter School, MA",,Country
934,"Minnetonka, MN",,Country
935,"La Follette, WI",,Country
936,"Princeton, OH",,Country
937,"St. Thomas Aquinas, FL",,Country
938,"Holy Innocents, GA",,Country
939,"PHH Prep, AZ",,Country
940,"Olathe South, KS",,Country
941,"Kellam, VA",,Country
942,"Iroquois, NY",,Country
943,"Seven Lakes, TX",,Country
944,"Albertville, AL",,Country
945,"Pine Crest, FL",,Country
946,"Pocatello, ID",,Country
947,"Democracy Prep, NV",,Country
948,"Westtown, PA",,Country
949,"Arapahoe, CO",,Country
