school,clean_name,clean_city,clean_state,category
"Jefferson, SD",Jefferson,NULL,SD,high_school
"Hill City",NULL,NULL,NULL,high_school
"Mount Vernon, SD","Mount Vernon",NULL,SD,high_school
"Rolling Meadows, IL","Rolling Meadows",NULL,IL,high_school
Tri-Cities,NULL,NULL,NULL,high_school
"CR Xavier",NULL,NULL,NULL,high_school
"Cartersville, GA",Cartersville,NULL,GA,high_school
Deerfield,NULL,NULL,NULL,high_school
"Whitley County",NULL,NULL,NULL,high_school
"Marist, GA",Marist,NULL,GA,high_school
"Camden-Fairview, AR",Camden-Fairview,NULL,AR,high_school
"Corydon Central, IN","Corydon Central",NULL,IN,high_school
"Crosby Ironton, MN","Crosby Ironton",NULL,MN,high_school
"Johnston, IA",Johnston,NULL,IA,high_school
"Bishop Ireton",NULL,NULL,NULL,high_school
"Hortonville, WI",Hortonville,NULL,WI,high_school
"Millard West, NE","Millard West",NULL,NE,high_school
"Lincoln Northeast",NULL,NULL,NULL,high_school
"Cripus Attucks, IN","Cripus Attucks",NULL,IN,high_school
Spring-Ford,NULL,NULL,NULL,high_school
"Whitney, CA",Whitney,NULL,CA,high_school
Millbrook,NULL,NULL,NULL,high_school
Hebron,NULL,NULL,NULL,high_school
"St. Mary's, CA","St. Mary's",NULL,CA,high_school
"Arapahoe, CO",Arapahoe,NULL,CO,high_school
"Holy Cross Prep Academy",NULL,NULL,NULL,high_school
"Nooksack Valley, WA","Nooksack Valley",NULL,WA,high_school
"Bishop Mieve",NULL,NULL,NULL,high_school
Baldwin,NULL,NULL,NULL,high_school
"St. John's College, MD","St. John's College",NULL,MD,high_school
"Sparrows Point, MD","Sparrows Point",NULL,MD,high_school
"Bullis, MD",Bullis,NULL,MD,high_school
"Wesleyan, GA",Wesleyan,NULL,GA,high_school
"Princeton, OH",Princeton,NULL,OH,high_school
"Butler College Prep, IL","Butler College Prep",NULL,IL,high_school
"West Des Moines",NULL,NULL,NULL,high_school
"North Polk",NULL,NULL,NULL,high_school
"Skutt Catholic",NULL,NULL,NULL,high_school
"Pickerington Ridgeview",NULL,NULL,NULL,high_school
"Mueller Park MS",NULL,NULL,NULL,middle_school
"Princess Anne",NULL,NULL,NULL,high_school
Trinity,NULL,NULL,NULL,high_school
"Kellam, VA",Kellam,NULL,VA,high_school
"Bishop Ireton, VA","Bishop Ireton",NULL,VA,high_school
Wallkill,NULL,NULL,NULL,high_school
"Solon, IA",Solon,NULL,IA,high_school
"Elkhorn North, NE","Elkhorn North",NULL,NE,high_school
"Charlotte Catholic, NC","Charlotte Catholic",NULL,NC,high_school
"Archbishop Spalding",NULL,NULL,NULL,high_school
"West Cabarrus",NULL,NULL,NULL,high_school
Pittsford,NULL,NULL,NULL,high_school
"Davenport North, IA","Davenport North",NULL,IA,high_school
"Morris Catholic, NJ","Morris Catholic",NULL,NJ,high_school
"Wheeling Park",NULL,NULL,NULL,high_school
"Our Lady of Lourdes, NY","Our Lady of Lourdes",NULL,NY,high_school
"Union, WA",Union,NULL,WA,high_school
"Mt Vernon, IN","Mt Vernon",NULL,IN,high_school
"Rutherford, FL",Rutherford,NULL,FL,high_school
Huntsville,NULL,NULL,NULL,high_school
"Washington, IN",Washington,NULL,IN,high_school
"Salpointe Catholic, AZ","Salpointe Catholic",NULL,AZ,high_school
Winsdor,NULL,NULL,NULL,high_school
"York Institute",NULL,NULL,NULL,high_school
"Hazel Green, AL","Hazel Green",NULL,AL,high_school
Buckhorn,NULL,NULL,NULL,high_school
"Wylie East, TX","Wylie East",NULL,TX,high_school
"Hewitt-Trussville, AL",Hewitt-Trussville,NULL,AL,high_school
"Clovis West, CA","Clovis West",NULL,CA,high_school
"Mansfield Timberview",NULL,NULL,NULL,high_school
Braswell,NULL,NULL,NULL,high_school
"Mercy Academy, KY","Mercy Academy",NULL,KY,high_school
"Hopkins, MN",Hopkins,NULL,MN,high_school
DECA,NULL,NULL,NULL,high_school
"Panther Creek, NC","Panther Creek",NULL,NC,high_school
"Bethlehem Central",NULL,NULL,NULL,high_school
"Noble& Greenough",NULL,NULL,NULL,high_school
"Putnam City West",NULL,NULL,NULL,high_school
"Hardin Jefferson, TX","Hardin Jefferson",NULL,TX,high_school
"Xavier Prep",NULL,NULL,NULL,high_school
"Westmoore, OK",Westmoore,NULL,OK,high_school
"Summer Creek, TX","Summer Creek",NULL,TX,high_school
Lancaster,NULL,NULL,NULL,high_school
Sachse,NULL,NULL,NULL,high_school
"Prestonwood Christian Acadmey, TX","Prestonwood Christian Acadmey",NULL,TX,high_school
"Northside Methodist School",NULL,NULL,NULL,high_school
"Lancaster Central, NY","Lancaster Central",NULL,NY,high_school
"Worcester Academy, MA","Worcester Academy",NULL,MA,high_school
"Clarksville Christian, TN","Clarksville Christian",NULL,TN,high_school
"Cypress Lakes, TX","Cypress Lakes",NULL,TX,high_school
"Washburn Rural",NULL,NULL,NULL,high_school
"Helias Catholic, MO","Helias Catholic",NULL,MO,high_school
"Seven Lakes, TX","Seven Lakes",NULL,TX,high_school
"PAUL VI Catholic, VA","PAUL VI Catholic",NULL,VA,high_school
"Bethany, OK",Bethany,NULL,OK,high_school
"Oaks Christian, CA","Oaks Christian",NULL,CA,high_school
"RCA, TN",RCA,NULL,TN,high_school
"Clarksville, TN",Clarksville,NULL,TN,high_school
"Saddle River, NJ","Saddle River",NULL,NJ,high_school
"Booker T. Washington, OK","Booker T. Washington",NULL,OK,high_school
"New Providence",NULL,NULL,NULL,high_school
"St. Johns College, DC","St. Johns College",NULL,DC,high_school
"Archbishop Hoban",NULL,NULL,NULL,high_school
"J.M. Robinson, NC","J.M. Robinson",NULL,NC,high_school
"Tilton, NH",Tilton,NULL,NH,high_school
"Benilde St Margarets, MN","Benilde St Margarets",NULL,MN,high_school
"Germantown, MS",Germantown,NULL,MS,middle_school
"Calvary  Christian Academy",NULL,NULL,NULL,high_school
"Africentric, OH",Africentric,NULL,OH,high_school
"George Washington, WV","George Washington",NULL,WV,high_school
"Georgetown Visitation",NULL,NULL,NULL,high_school
"College Station",NULL,NULL,NULL,high_school
"Northview Academy",NULL,NULL,NULL,high_school
"Central Magnet, TN","Central Magnet",NULL,TN,high_school
"Auburn, AL",Auburn,NULL,AL,high_school
Somerset,NULL,NULL,NULL,high_school
"South Bend Washington",NULL,NULL,NULL,high_school
"Bishop Kenny, FL","Bishop Kenny",NULL,FL,high_school
"McDonough, MD",McDonough,NULL,MD,high_school
"Kennedy Catholic",NULL,NULL,NULL,high_school
Pikeville,NULL,NULL,NULL,high_school
"Blue Springs",NULL,NULL,NULL,high_school
"GEORGE Washington",NULL,NULL,NULL,high_school
MTCS,NULL,NULL,NULL,high_school
"Tea Area, SD","Tea Area",NULL,SD,high_school
"Kipp Spirit",NULL,NULL,NULL,high_school
"Spring Branch",NULL,NULL,NULL,high_school
Kountze,NULL,NULL,NULL,high_school
"Thompson Elementary",NULL,NULL,NULL,high_school
"Judson, TX",Judson,NULL,TX,high_school
"Pasadena Memorial, TX","Pasadena Memorial",NULL,TX,high_school
Leander,NULL,NULL,NULL,high_school
"Cinco Ranch",NULL,NULL,NULL,high_school
Fredericksburg,NULL,NULL,NULL,high_school
Fredricksburg,NULL,NULL,NULL,high_school
"Dripping Springs",NULL,NULL,NULL,high_school
Lytle,NULL,NULL,NULL,high_school
"West Memorial",NULL,NULL,NULL,high_school
McNair,NULL,NULL,NULL,high_school
"Marine D Jones",NULL,NULL,NULL,high_school
Pershing,NULL,NULL,NULL,high_school
"Louis Brandeis, TX","Louis Brandeis",NULL,TX,high_school
"Western Oaks MS",NULL,NULL,NULL,middle_school
Uniondale,NULL,NULL,NULL,high_school
"Putnam City West, OK","Putnam City West",NULL,OK,high_school
"Grind Prep, OK","Grind Prep",NULL,OK,high_school
"Bishop Kearney",NULL,NULL,NULL,high_school
"Bradford Christian Academy",NULL,NULL,NULL,high_school
"Copper MS",NULL,NULL,NULL,middle_school
"Cinco Ranch, TX","Cinco Ranch",NULL,TX,high_school
"HavenView MS",NULL,NULL,NULL,middle_school
"Carrollwood Day School",NULL,NULL,NULL,high_school
"Andrew Lewis MS",NULL,NULL,NULL,middle_school
"Dutch Fork ME",NULL,NULL,NULL,high_school
"Boyd County, KY","Boyd County",NULL,KY,high_school
"Crestwood Prep, ONT","Crestwood Prep",NULL,ONT,high_school
"WSCN, NC",WSCN,NULL,NC,high_school
Ryle,NULL,NULL,NULL,high_school
"Crestwood Prep",NULL,NULL,NULL,high_school
"Red Bank Catholic, NJ","Red Bank Catholic",NULL,NJ,high_school
"Incarnate Word Academy",NULL,NULL,NULL,high_school
Westridge,NULL,NULL,NULL,high_school
"Ryle, KY",Ryle,NULL,KY,high_school
"Miami Country Day, FL","Miami Country Day",NULL,FL,high_school
"Miami Country Day",NULL,NULL,NULL,high_school
"Casady, OK",Casady,NULL,OK,high_school
"St. Teresa's Academy, MO","St. Teresa's Academy",NULL,MO,high_school
"Russell, KY",Russell,NULL,KY,high_school
"Elk Grove Charter School",NULL,NULL,NULL,high_school
"Garfield, WA",Garfield,NULL,WA,high_school
"Windward School, CA","Windward School",NULL,CA,high_school
"Bishop Alemany",NULL,NULL,NULL,high_school
Lynwood,NULL,NULL,NULL,high_school
"Centennial, NV",Centennial,NULL,NV,high_school
"Xavier College Prep",NULL,NULL,NULL,high_school
"Spring Valley",NULL,NULL,NULL,high_school
Frontier,NULL,NULL,NULL,high_school
"Liberty, CA",Liberty,NULL,CA,high_school
"Mater Dei, CA","Mater Dei",NULL,CA,high_school
"St Anthony",NULL,NULL,NULL,high_school
"Key MS",NULL,NULL,NULL,middle_school
"Connelly School, MD","Connelly School",NULL,MD,high_school
"Lincoln Community, IL","Lincoln Community",NULL,IL,high_school
"James River, VA","James River",NULL,VA,high_school
"Ben Franklin MS",NULL,NULL,NULL,middle_school
Minnetonka,NULL,NULL,NULL,high_school
"Purcell Marian, OH","Purcell Marian",NULL,OH,high_school
"Winton Woods",NULL,NULL,NULL,high_school
"Sierra Canyon",NULL,NULL,NULL,high_school
"Midwest City",NULL,NULL,NULL,high_school
"Faith Family, TX","Faith Family",NULL,TX,high_school
"North Bend",NULL,NULL,NULL,high_school
"Blanche Ely",NULL,NULL,NULL,high_school
"Camden, SC",Camden,NULL,SC,high_school
"Augusta CHRISTIAN School",NULL,NULL,NULL,high_school
Buna,NULL,NULL,NULL,high_school
"Blue Springs South, MO","Blue Springs South",NULL,MO,high_school
"Coeur d'Alene, ID","Coeur d'Alene",NULL,ID,high_school
"Rutgers Prep, NJ","Rutgers Prep",NULL,NJ,high_school
"Lake Highland Prep, FL","Lake Highland Prep",NULL,FL,high_school
"Christopher, IL",Christopher,NULL,IL,high_school
"Calvary Day School",NULL,NULL,NULL,high_school
Duncanville,NULL,NULL,NULL,high_school
"Westtown School, PA","Westtown School",NULL,PA,high_school
Watauga,NULL,NULL,NULL,high_school
"John Burroughs School",NULL,NULL,NULL,high_school
Germantown,NULL,NULL,NULL,high_school
"McKenzie MS",NULL,NULL,NULL,middle_school
"Lutheran Saint Charles, MO","Lutheran Saint Charles",NULL,MO,high_school
"Christian Academy",NULL,NULL,NULL,high_school
"Saint Theresa",NULL,NULL,NULL,high_school
"Carver MS",NULL,NULL,NULL,middle_school
"Ankeny Centennial",NULL,NULL,NULL,high_school
Sumter,NULL,NULL,NULL,high_school
"Paisley IB Magnet",NULL,NULL,NULL,high_school
"Solano MS",NULL,NULL,NULL,middle_school
"Golden West MS",NULL,NULL,NULL,middle_school
"Hyde Park",NULL,NULL,NULL,high_school
Hotchkiss,NULL,NULL,NULL,high_school
"Nazareth Regional",NULL,NULL,NULL,high_school
"Millenium, AZ",Millenium,NULL,AZ,high_school
"Wake Forest",NULL,NULL,NULL,high_school
"Shabach, MD",Shabach,NULL,MD,high_school
"Broken Arrow, OK","Broken Arrow",NULL,OK,high_school
"Heathwood Hall Episcopal",NULL,NULL,NULL,high_school
"MYERS Park",NULL,NULL,NULL,high_school
"IS 27",NULL,NULL,NULL,high_school
Alcoa,NULL,NULL,NULL,high_school
"Lancaster, TX",Lancaster,NULL,TX,high_school
"Renaissance MS",NULL,NULL,NULL,middle_school
"Williams MS",NULL,NULL,NULL,middle_school
"Union Grove MS",NULL,NULL,NULL,middle_school
"Arabia Mountain",NULL,NULL,NULL,high_school
"River Trail MS",NULL,NULL,NULL,middle_school
"Hebron, TX",Hebron,NULL,TX,high_school
"Snellville MS",NULL,NULL,NULL,middle_school
"Fairmont MS",NULL,NULL,NULL,middle_school
"SJ Welsh",NULL,NULL,NULL,high_school
"Mission West",NULL,NULL,NULL,high_school
"Brennan, TX",Brennan,NULL,TX,high_school
"St Catherine of Siena",NULL,NULL,NULL,high_school
"Parkhill South",NULL,NULL,NULL,high_school
"Omaha Central, NE","Omaha Central",NULL,NE,high_school
"Park Hill South, MO","Park Hill South",NULL,MO,high_school
"Staley, MO",Staley,NULL,MO,high_school
"Wichita Heights",NULL,NULL,NULL,high_school
"Waubonsie Valley",NULL,NULL,NULL,high_school
"Nequa Valley",NULL,NULL,NULL,high_school
"Franklin Community",NULL,NULL,NULL,high_school
"Legion Prep Academy, TX","Legion Prep Academy",NULL,TX,high_school
"Principia, MO",Principia,NULL,MO,high_school
"Lawrence North, IN","Lawrence North",NULL,IN,high_school
"Whitney Young",NULL,NULL,NULL,high_school
"West Bloomfield",NULL,NULL,NULL,high_school
"West Bloomfield, MI","West Bloomfield",NULL,MI,high_school
"Ecole Secondary",NULL,NULL,NULL,high_school
"Batavia, KY",Batavia,NULL,KY,high_school
"Lake Highland Prep",NULL,NULL,NULL,high_school
"Waynesville, MO",Waynesville,NULL,MO,high_school
"Bedford North Lawrence, IN","Bedford North Lawrence",NULL,IN,high_school
"Saline MS",NULL,NULL,NULL,middle_school
"Neuqua Valley",NULL,NULL,NULL,high_school
"London Towne ES",NULL,NULL,NULL,high_school
"Incarnate Word Academy, MO","Incarnate Word Academy",NULL,MO,high_school
"Karen Wagner, TX","Karen Wagner",NULL,TX,high_school
"St Charles North",NULL,NULL,NULL,high_school
"Providence Catholic, TX","Providence Catholic",NULL,TX,high_school
"Detroit Edison",NULL,NULL,NULL,high_school
"Inman MS",NULL,NULL,NULL,middle_school
"Goodpasture Christian School",NULL,NULL,NULL,high_school
"St. Johns, DC","St. Johns",NULL,DC,high_school
"Southeast Polk",NULL,NULL,NULL,high_school
"Dallas Center Grimes MS",NULL,NULL,NULL,middle_school
"Holy Innocents Episcopal",NULL,NULL,NULL,high_school
"Clinton JHS",NULL,NULL,NULL,high_school
"Spring Garden, AL","Spring Garden",NULL,AL,high_school
"Galloway, GA",Galloway,NULL,GA,high_school
Meigs,NULL,NULL,NULL,high_school
"Buford, GA",Buford,NULL,GA,high_school
"Bolingbrook, IL",Bolingbrook,NULL,IL,high_school
"Hamilton Southeastern",NULL,NULL,NULL,high_school
"Norman, OK",Norman,NULL,OK,high_school
"Downtown MS",NULL,NULL,NULL,middle_school
"Emblem Academy Elementary",NULL,NULL,NULL,high_school
Rivercrest,NULL,NULL,NULL,high_school
"Byng Elementary",NULL,NULL,NULL,high_school
Norcross,NULL,NULL,NULL,high_school
"Westside Elementaryv",NULL,NULL,NULL,high_school
"Newton, GA",Newton,NULL,GA,high_school
"East Magnet MS",NULL,NULL,NULL,middle_school
"Browns Chapel",NULL,NULL,NULL,high_school
"Mil Creek MS",NULL,NULL,NULL,middle_school
"HUDSON Catholic",NULL,NULL,NULL,high_school
"Life Center Academy, NJ","Life Center Academy",NULL,NJ,high_school
Hammond,NULL,NULL,NULL,high_school
"North Pitt, NC","North Pitt",NULL,NC,high_school
"Peak To Peak Charter, CO","Peak To Peak Charter",NULL,CO,high_school
"Colfax, WA",Colfax,NULL,WA,high_school
"Ridgeline, UT",Ridgeline,NULL,UT,high_school
"Whitney Young, IL","Whitney Young",NULL,IL,high_school
"Grandview Prep, FL","Grandview Prep",NULL,FL,high_school
"Noble & Grennough, MA","Noble & Grennough",NULL,MA,high_school
"Archie Williams, CA","Archie Williams",NULL,CA,middle_school
"Pewaukee, WI",Pewaukee,NULL,WI,high_school
"St. Luke's, CT","St. Luke's",NULL,CT,high_school
"Montverde, FL",Montverde,NULL,FL,high_school
"Watauga, NC",Watauga,NULL,NC,high_school
"Detroit Edison, MI","Detroit Edison",NULL,MI,high_school
"Prestonwood Christian, TX","Prestonwood Christian",NULL,TX,high_school
"Little Elm, TX","Little Elm",NULL,TX,high_school
"Chiawanna, WA",Chiawanna,NULL,WA,high_school
"Douglass, OK",Douglass,NULL,OK,high_school
"Clackmas, OR",Clackmas,NULL,OR,high_school
"Northside, OK",Northside,NULL,OK,high_school
"Boilingbrook, IL",Boilingbrook,NULL,IL,high_school
"Mill Creek, GA","Mill Creek",NULL,GA,high_school
"Bishop O'Dowd, CA","Bishop O'Dowd",NULL,CA,high_school
"Monroe, GA",Monroe,NULL,GA,high_school
"South Pointe, SC","South Pointe",NULL,SC,high_school
"Marshall, MN",Marshall,NULL,MN,high_school
"Fairmont, OH",Fairmont,NULL,OH,high_school
"Chattanooga Christian, TN","Chattanooga Christian",NULL,TN,high_school
"Cannon, NC",Cannon,NULL,NC,high_school
"The Webb School, TN","The Webb School",NULL,TN,high_school
"Willamette, OR",Willamette,NULL,OR,high_school
"San Joaquin Memorial, CA","San Joaquin Memorial",NULL,CA,high_school
"DeSoto, TX",DeSoto,NULL,TX,high_school
"Winston Salem Christian National, NC","Winston Salem Christian National",NULL,NC,high_school
"Blue Valley, KS","Blue Valley",NULL,KS,high_school
"Xavier, IA",Xavier,NULL,IA,high_school
"St. Thomas Aquanis, FL","St. Thomas Aquanis",NULL,FL,high_school
"Caine Wilson Secondary, ONT","Caine Wilson Secondary",NULL,ONT,high_school
"Rice Lake, WI","Rice Lake",NULL,WI,high_school
"New Manchester, GA","New Manchester",NULL,GA,high_school
"Jefferson Christian, VA","Jefferson Christian",NULL,VA,high_school
"Loomis Chafee, CT","Loomis Chafee",NULL,CT,high_school
"Montini Catholic, IL","Montini Catholic",NULL,IL,high_school
"Skyline, MT",Skyline,NULL,MT,high_school
"Hamilton Heights, TN","Hamilton Heights",NULL,TN,high_school
"Ewing, NJ",Ewing,NULL,NJ,high_school
"Kenwood, IL",Kenwood,NULL,IL,high_school
"Crescenta Valley, CA","Crescenta Valley",NULL,CA,high_school
"Stillwater Area, MN","Stillwater Area",NULL,MN,high_school
"Lincoln SW, NE","Lincoln SW",NULL,NE,high_school
"Lyons Township, IL","Lyons Township",NULL,IL,high_school
"TPLS, VA",TPLS,NULL,VA,high_school
"McClatchy, CA",McClatchy,NULL,CA,high_school
"Langston Hughes, GA","Langston Hughes",NULL,GA,high_school
"Cardinal Newman, CA","Cardinal Newman",NULL,CA,high_school
"Alamo Heights, TX","Alamo Heights",NULL,TX,high_school
"Woodward Academy, GA","Woodward Academy",NULL,GA,high_school
"Peters Township, PA","Peters Township",NULL,PA,high_school
"Bishop Montgomery, CA","Bishop Montgomery",NULL,CA,high_school
"Frisco, TX",Frisco,NULL,TX,high_school
"Lake Creek, TX","Lake Creek",NULL,TX,high_school
"Loyola Academy, IL","Loyola Academy",NULL,IL,high_school
"Norcross, GA",Norcross,NULL,GA,high_school
"Noble Greenough, MA","Noble Greenough",NULL,MA,high_school
"Seaforth, NC",Seaforth,NULL,NC,high_school
"Mercy, MD",Mercy,NULL,MD,high_school
"Briarcrest Christian, TN","Briarcrest Christian",NULL,TN,high_school
"Bishop Miege, KS","Bishop Miege",NULL,KS,high_school
"Lake Zurich, IL","Lake Zurich",NULL,IL,high_school
"Dowling Catholic, IA","Dowling Catholic",NULL,IA,high_school
"Farmington, AR",Farmington,NULL,AR,high_school
"Snow Canyon, UT","Snow Canyon",NULL,UT,high_school
"St. Joseph Sea, NY","St. Joseph Sea",NULL,NY,high_school
"Audenried Charter, PA","Audenried Charter",NULL,PA,high_school
"McMinnville, OR",McMinnville,NULL,OR,high_school
"Cardinal O'Hara, NY","Cardinal O'Hara",NULL,NY,high_school
"Benilde-St Margaret's, MN","Benilde-St Margaret's",NULL,MN,high_school
"Sanford, NJ",Sanford,NULL,NJ,high_school
"Anthony Wayne, OH","Anthony Wayne",NULL,OH,high_school
"Millwood, OK",Millwood,NULL,OK,high_school
"Pine Creek, CO","Pine Creek",NULL,CO,high_school
"Fort Erie Secondary, CAN","Fort Erie Secondary",NULL,CAN,high_school
"Minnehaha, MN",Minnehaha,NULL,MN,high_school
"Fort Erie Int'l CAN",NULL,NULL,NULL,high_school
"Wagner, SD",Wagner,NULL,SD,high_school
"Booker T. Washington, FL","Booker T. Washington",NULL,FL,high_school
"Veterans, GA",Veterans,NULL,GA,high_school
"Centennial, CA",Centennial,NULL,CA,high_school
"Norfolk Christian, VA","Norfolk Christian",NULL,VA,high_school
"Albertus Magnus, NY","Albertus Magnus",NULL,NY,high_school
"Central Catholic, MA","Central Catholic",NULL,MA,high_school
"Quaker Valley, PA","Quaker Valley",NULL,PA,high_school
"Buena, CA",Buena,NULL,CA,high_school
"Example Academy, IL","Example Academy",NULL,IL,high_school
"Silver Creek, IN","Silver Creek",NULL,IN,high_school
"Bishop Gorman, NV","Bishop Gorman",NULL,NV,high_school
"Bearden, TN",Bearden,NULL,TN,high_school
"Danville Christian, KY","Danville Christian",NULL,KY,high_school
"Princess Anne, VA","Princess Anne",NULL,VA,high_school
"Ursuline Academy, DE","Ursuline Academy",NULL,DE,high_school
"Cypress Springs, TX","Cypress Springs",NULL,TX,high_school
"Oak Grove, LA","Oak Grove",NULL,LA,high_school
"Archbishop Wood, PA","Archbishop Wood",NULL,PA,high_school
"Corona, NM",Corona,NULL,NM,high_school
"Eastside Catholic, WA","Eastside Catholic",NULL,WA,high_school
"Sandy Creek, GA","Sandy Creek",NULL,GA,high_school
"Bettendorf, IA",Bettendorf,NULL,IA,high_school
"Plano East, TX","Plano East",NULL,TX,high_school
"Winton Woods, OH","Winton Woods",NULL,OH,high_school
"Fayetteville, AR",Fayetteville,NULL,AR,high_school
"Windward, CA",Windward,NULL,CA,high_school
"North Mesquite, TX","North Mesquite",NULL,TX,high_school
"MICD, MO",MICD,NULL,MO,high_school
"Mars Hill Bible, AL","Mars Hill Bible",NULL,AL,high_school
"Quincy Senior, IL","Quincy Senior",NULL,IL,high_school
"Dexter School, MA","Dexter School",NULL,MA,high_school
"La Follette, WI","La Follette",NULL,WI,high_school
"PHH Prep, AZ","PHH Prep",NULL,AZ,high_school
"Olathe South, KS","Olathe South",NULL,KS,high_school
"Iroquois, NY",Iroquois,NULL,NY,high_school
"Albertville, AL",Albertville,NULL,AL,high_school
"Pine Crest, FL","Pine Crest",NULL,FL,high_school
"Pocatello, ID",Pocatello,NULL,ID,high_school
"Democracy Prep, NV","Democracy Prep",NULL,NV,high_school
